IN1,IN2,IN5,Out1
0.0777441375,0.7955651441,0.1344188283,-0.1226863606
0.08031253163,0.8245948932,0.1349407477,-0.1226863606
0.08735490263,0.7762576223,0.1324515936,-0.02685698061
0.09177364522,0.7391488393,0.1312873119,-0.02685698061
0.09116606811,0.7613319494,0.1367875395,-0.02685698061
0.08765869118,0.7620166133,0.1404811229,-0.02685698061
0.08249428578,0.7333976625,0.1381927071,-0.02685698061
0.08188670868,0.7039571151,0.1375101971,-0.02685698061
0.08481412564,0.6379555157,0.1353823718,-0.02685698061
0.08404084569,0.6682176598,0.1309259831,-0.02685698061
0.08368182286,0.7894031691,0.08503722316,-0.02685698061
0.08542170275,0.7904986313,0.03421030273,0.06897239942
0.08249428578,0.7228538386,0.03172114864,0.1648017794
0.07578332048,0.7214845108,-0.002966417906,0.06897239942
0.06426697262,0.734356192,-0.04275273556,-0.02685698061
0.05299917902,0.6783506855,-0.06579748463,-0.1226863606
0.0421180254,0.6632880798,-0.1197559215,-0.2185157407
0.03068452896,0.7172395946,-0.2094457637,-0.3143451207
0.02527156929,0.7475017388,-0.2977304383,-0.4101745007
0.02706668347,0.7780377484,-0.3245490661,-0.5060038807
0.02552012356,0.8114493465,-0.3375970512,-0.6018332608
0.02170895808,0.7528421171,-0.3703575308,-0.6018332608
0.02170895808,0.6950564845,-0.3918766693,-0.5060038807
0.0244706722,0.6988906023,-0.4198194312,-0.5060038807
0.02604484924,0.6752012315,-0.452098139,-0.5060038807
0.02107376383,0.7342192592,-0.4821687262,-0.5060038807
0.01767685547,0.8040549764,-0.5204695809,-0.5060038807
0.01416947854,0.721347578,-0.5294225061,-0.5060038807
0.01207057581,0.6509641297,-0.5310284119,-0.5060038807
0.01590935843,0.6765705593,-0.5599347174,-0.5060038807
0.02477446075,0.7186089224,-0.5921732775,-0.5060038807
0.03524135725,0.7577716972,-0.5922134252,-0.5060038807
0.04755860221,0.8313045994,-0.5922937204,-0.4101745007
0.06233377273,0.7946066147,-0.5913301769,-0.4101745007
0.07169598359,0.7314806036,-0.5800085406,-0.4101745007
0.07459578341,0.7406550998,-0.5148890581,-0.4101745007
0.07061891508,0.7350408559,-0.4535434542,-0.4101745007
0.07409867487,0.6626034159,-0.4531018301,-0.4101745007
0.07978780595,0.6472669447,-0.452660206,-0.4101745007
0.08152768584,0.7014923251,-0.4522185819,-0.4101745007
0.08354373715,0.7147748046,-0.4540653736,-0.4101745007
0.08691302837,0.7253186286,-0.4564340848,-0.3143451207
0.0841789314,0.7639336722,-0.4563136419,-0.3143451207
0.07586617191,0.7388749737,-0.4546274407,-0.3143451207
0.07285590352,0.7149117374,-0.4541055213,-0.3143451207
0.06979040085,0.7607842183,-0.4562333466,-0.3143451207
0.07164074931,0.7580455627,-0.4580399907,-0.4101745007
0.07506527481,0.7366840492,-0.45924442,-0.4101745007
0.07357394919,0.7657137983,-0.4589232389,-0.4101745007
0.07846218317,0.7424352259,-0.4586020577,-0.4101745007
0.0777441375,0.6994383334,-0.4568757089,-0.4101745007
0.07732988039,0.7234015697,-0.4639818423,-0.5060038807
0.07677753756,0.7568131677,-0.5129218234,-0.5060038807
0.07934593169,0.7272356875,-0.5568834963,-0.4101745007
0.09058610815,0.6884837111,-0.5541534563,-0.4101745007
0.09163555951,0.7531159827,-0.5511825305,-0.4101745007
0.08989567962,0.8180221199,-0.5504197252,-0.4101745007
0.09163555951,0.7857059841,-0.5392988271,-0.4101745007
0.09149747381,0.7647552689,-0.4874280679,-0.4101745007
0.09356875939,0.7160071996,-0.4180127871,-0.3143451207
0.09199458235,0.6621926176,-0.3934424275,-0.3143451207
0.08818341687,0.7101190901,-0.3946870045,-0.3143451207
0.08486935993,0.7629751428,-0.3936431657,-0.3143451207
0.07940116597,0.7651660672,-0.4124322643,-0.3143451207
0.07473386912,0.722579973,-0.4654673052,-0.2185157407
0.06832669237,0.7694109834,-0.537492183,-0.2185157407
0.0635213098,0.7963867408,-0.5793661783,-0.2185157407
0.05722460162,0.7001229973,-0.5802092789,-0.2185157407
0.05739030447,0.6741057693,-0.5773186483,-0.1226863606
0.05570565885,0.7261402253,-0.5808516412,-0.1226863606
0.055733276,0.7292896792,-0.6085535173,-0.1226863606
0.05932350435,0.7379164442,-0.636295541,-0.1226863606
0.06006916716,0.8141880021,-0.6363758363,-0.1226863606
0.05907495008,0.8051504387,-0.6364962792,-0.1226863606
0.0502374649,0.759141025,-0.6365765745,-0.1226863606
0.03960486555,0.7637967394,-0.6381021851,-0.1226863606
0.02935890618,0.7243600991,-0.638222628,-0.2185157407
0.02350407225,0.6458976169,-0.6773264357,-0.2185157407
0.018367284,0.7042309807,-0.7598298492,-0.2185157407
0.01336858145,0.7873491774,-0.8051966897,-0.2185157407
0.006906170414,0.7594148905,-0.8222192918,-0.3143451207
-0.001102800524,0.7369579148,-0.8545782948,-0.3143451207
-0.008697514345,0.7495557304,-0.9053650676,-0.3143451207
-0.0157122682,0.7431198898,-0.9529400287,-0.2185157407
-0.01214965699,0.7458585454,-0.9919635411,-0.2185157407
-0.001599909065,0.761605815,-1.018501135,-0.1226863606
0.008342261755,0.7669461934,-1.018902612,-0.02685698061
0.01839490114,0.7620166133,-1.019304088,0.06897239942
0.02640387208,0.7516097221,-1.017658035,0.1648017794
0.03595940292,0.7691371178,-1.016694491,0.1648017794
0.04777953934,0.76037342,-1.000113513,0.2606311595
